číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady,Typ datové sady,Dataset type,https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady/položky/otevřená-data,otevřená-data,Otevřená data,Open data
https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady,Typ datové sady,Dataset type,https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady/položky/dynamická-data,dynamická-data,Dynamická data,Dynamic data
https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady,Typ datové sady,Dataset type,https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady/položky/data-z-veřejných-registrů,data-z-veřejných-registrů,Data z veřejných registrů,Data from public registries
https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady,Typ datové sady,Dataset type,https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady/položky/datová-sada-s-vysokou-hodnotou-hvd,datová-sada-s-vysokou-hodnotou-hvd,Datová sada s vysokou hodnotou (HVD),High-Value Dataset (HVD)
https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady,Typ datové sady,Dataset type,https://data.dia.gov.cz/zdroj/číselníky/typ-datové-sady/položky/neveřejná-data,neveřejná-data,Neveřejná data,Non-public data
