číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd,Akademické pozice na Akademii věd České republiky,Academic positions at the Czech Academy of Sciences,https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd/položky/odborný-pracovník-výzkumu-a-vývoje,1,Odborný pracovník výzkumu a vývoje,Research assistant
https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd,Akademické pozice na Akademii věd České republiky,Academic positions at the Czech Academy of Sciences,https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd/položky/doktorand,2,Doktorand,Graduade student
https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd,Akademické pozice na Akademii věd České republiky,Academic positions at the Czech Academy of Sciences,https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd/položky/postdoktorand,3a,Postdoktorand,Postdoctoral fellow
https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd,Akademické pozice na Akademii věd České republiky,Academic positions at the Czech Academy of Sciences,https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd/položky/vědecký-asistent,3b,Vědecký asistent,Associated scientist/scholar
https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd,Akademické pozice na Akademii věd České republiky,Academic positions at the Czech Academy of Sciences,https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd/položky/vědecký-pracovník,4,Vědecký pracovník,Scientist/scholar
https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd,Akademické pozice na Akademii věd České republiky,Academic positions at the Czech Academy of Sciences,https://data.mvcr.gov.cz/zdroj/číselníky/pozice-na-akademii-věd/položky/vedoucí-vědecký-pracovník,5,Vedoucí vědecký pracovník,Senior scientist/scholar
