číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/žárovky,žárovky,Klasické žárovky,Bulbs
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/žárovka-reflektorová,žárovka-reflektorová,Reflektorové žárovky,Headlights
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/žárovka-ledka,žárovka-ledka,LED žárovky,LED bulbs
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/zářivka,zářivka,Kompaktní zářivky,Compact fluorescent lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/zářivka-lineární,zářivka-lineární,Lineární zářivky,Linear fluorescent lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/výbojka,výbojka,Výbojky,Discharge lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/halogenka,halogenka,Halogenové žárovky,Halogen lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/suť,suť,Suť bez příměsí,Rubble
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/cihly,cihly,Cihly,Bricks
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/dřevo,dřevo,Dřevo,Wood
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/zemina,zemina,Zemina a kamení,Soil and stones
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/směs-demolice,směs-demolice,Směsný stavební a demoliční odpad,Construction waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/obklady,obklady,Obklady,Tiles
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/azbest,azbest,Azbest,Asbestos
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/sklo-stavební,sklo-stavební,Stavební sklo,Building glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/plast-stavební,plast-stavební,Stavební plast,Building plastic
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/izolace,izolace,Stavební izolační materiály,Insulation
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/kabely,kabely,kabely,Cables
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/směsný-odpad,směsný-odpad,Směsný odpad,Communal waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/bioodpad,bioodpad,Bioodpad,Biological waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděného-odpadu/položky/re-use,re-use,Re-use,Re-use
