číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/judo,judo,Judo,Judo
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/kanoistika,kanoistika,Kanoistika,Canoeing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/karate,karate,Karate,Carate
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/kickbox,kickbox,Kickbox,Kickbox
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/kolová,kolová,Kolová,Cycle ball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/korfbal,korfbal,Korfbal,Korfball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/krasobruselní,krasobruselní,Krasobruselní,Figure skating
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/kulečník,kulečník,Kulečník,Snooker
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/kulturistika,kulturistika,Kulturistika,Body-building
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/kuželky,kuželky,Kuželky,Skittles
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/lakros,lakros,Lakros,Lacros
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/lední-hokej,lední-hokej,Lední hokej,Ice hockey
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/letectví,letectví,Letectví,Aviation
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/lukostřelba,lukostřelba,Lukostřelba,Archery
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/lyžování,lyžování,Lyžování,Skiing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/malá-kopaná,malá-kopaná,Malá kopaná,Five-a-side football
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/minigolf,minigolf,Minigolf,Minigolf
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/moderní-gymnastika,moderní-gymnastika,Moderní gymnastika,Modern gymnastics
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/motokros,motokros,Motokros,Motocross
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/motorismus,motorismus,Motorismus,Motorism
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/národní-házená,národní-házená,Národní házená,National handball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/nohejbal,nohejbal,Nohejbal,Futnet
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/orientační-běh,orientační-běh,Orientační běh,Orienteering
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/parkour,parkour,Parkour,Parkour
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/petanque,petanque,Petanque,Petanque
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/pětiboj,pětiboj,Pětiboj,Pentathlon
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/pilates,pilates,Pilates,Pilates
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/plavání,plavání,Plavání,Swimming
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/poker,poker,Poker,Poker
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/posilování,posilování,Posilování,Fitness
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/potápění,potápění,Potápění,Diving
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/pozemní-hokej,pozemní-hokej,Pozemní hokej,Field hockey
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/rafting,rafting,Rafting,Rafting
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/ragby,ragby,Ragby,Rugby
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/raketbal,raketbal,Raketbal,Racquetball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/rychlobruslení,rychlobruslení,Rychlobruslení,Speedskating
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/skateboarding,skateboarding,Skateboarding,Skateboarding
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/skeleton,skeleton,Skeleton,Skeleton
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/sledge-hokej,sledge-hokej,Sledge hokej,Sledge hokej
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/snooker,snooker,Snooker,Snooker
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/snowboarding,snowboarding,Snowboarding,Snowboarding
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/softbal,softbal,Softbal,Softball
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/spinning,spinning,Spinning,Spinning
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/sportovní-gymnastika,sportovní-gymnastika,Sportovní gymnastika,Sport gymnastics
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/sportovní-rybaření,sportovní-rybaření,Sportovní rybaření,Fishing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/sportovní-střelba,sportovní-střelba,Sportovní střelba,Sport shooting
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/squash,squash,Squash,Squash
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/stolní-tenis,stolní-tenis,Stolní tenis,Table tennis
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/surfování,surfování,Surfování,Surfing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/synchronizované-plavání,synchronizované-plavání,Synchronizované plavání,Synchronized swimming
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/šachy,šachy,Šachy,Chess
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/šerm,šerm,Šerm,Fencing
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/taekwondo,taekwondo,Taekwondo,Taekwondo
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/taneční-sport,taneční-sport,Taneční sport,Dance sports
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/tenis,tenis,Tenis,Tennis
https://data.mvcr.gov.cz/zdroj/číselníky/sporty,Sporty,Sports,https://data.mvcr.gov.cz/zdroj/číselníky/sporty/položky/triatlon,triatlon,Triatlon,Triathlon
