číselník,číselník_název_cs,číselník_název_en,položka,položka_název_cs,položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/žárovka-reflektorová,Reflektorové žárovky,Headlights
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/žárovka-ledka,LED žárovky,LED bulbs
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/zářivka,Kompaktní zářivky,Compact fluorescent lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/zářivka-lineární,Lineární zářivky,Linear fluorescent lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/výbojka,Výbojky,Discharge lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/halogenka,Halogenové žárovky,Halogen lamp
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/suť,Suť bez příměsí,Rubble
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/cihly,Cihly,Bricks
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/dřevo,Dřevo,Wood
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/zemina,Zemina a kamení,Soil and stones
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/směs-demolice,Směsný stavební a demoliční odpad,Construction waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/obklady,Obklady,Tiles
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/azbest,Azbest,Asbestos
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/sklo-stavební,Stavební sklo,Building glass
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/plast-stavební,Stavební plast,Building plastic
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/izolace,Stavební izolační materiály,Insulation
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/kabely,kabely,Cables
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/směsný-odpad,Směsný odpad,Communal waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/bioodpad,Bioodpad,Biological waste
https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů,Typy tříděných odpadů,Types of recycling waste,https://data.mvcr.gov.cz/zdroj/číselníky/typy-tříděných-odpadů/položky/re-use,Re-use,Re-use
