číselník,číselník_název_cs,položka,položka_kód,položka_název_cs
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BA,BA,Obecná matematika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BB,BB,"Aplikovaná statistika, operační výzkum"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BC,BC,Teorie a systémy řízení
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BD,BD,Teorie informace
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BE,BE,Teoretická fyzika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BF,BF,Elementární částice a fyzika vysokých energií
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BG,BG,"Jaderná, atomová a molekulová fyzika, urychlovače"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BH,BH,"Optika, masery a lasery"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BI,BI,Akustika a kmity
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BJ,BJ,Termodynamika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BK,BK,Mechanika tekutin
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BL,BL,Fyzika plasmatu a výboje v plynech
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BM,BM,Fyzika pevných látek a magnetismus
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BN,BN,"Astronomie a nebeská mechanika, astrofyzika"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/BO,BO,Biofyzika
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CA,CA,Anorganická chemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CB,CB,"Analytická chemie, separace"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CC,CC,Organická chemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CD,CD,Makromolekulární chemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CE,CE,Biochemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CF,CF,Fyzikální chemie a teoretická chemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CG,CG,Elektrochemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CH,CH,"Jaderná a kvantová chemie, fotochemie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/CI,CI,Průmyslová chemie a chemické inženýrství
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DA,DA,Hydrologie a limnologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DB,DB,Geologie a mineralogie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DC,DC,"Seismologie, vulkanologie a struktura Země"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DD,DD,Geochemie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DE,DE,"Zemský magnetismus, geodesie, geografie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DF,DF,Pedologie
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DG,DG,"Vědy o atmosféře, meteorologie"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DH,DH,Báňský průmysl včetně těžby a zpracování uhlí
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DI,DI,Znečištění a kontrola vzduchu
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DJ,DJ,Znečištění a kontrola vody
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DK,DK,Kontaminace a dekontaminace půdy včetně pesticidů
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DL,DL,"Jaderné odpady, radioaktivní znečištění a kontrola"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DM,DM,"Tuhý odpad a jeho kontrola, recyklace"
https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,https://data.mvcr.gov.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/DN,DN,Vliv životního prostředí na zdraví
