číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs
https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů,"Kategorie údajů v ISVS dle § 23, odst. 1, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů/položky/základních-registrů,základních-registrů,Základních registrů
https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů,"Kategorie údajů v ISVS dle § 23, odst. 1, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů/položky/jiných-agend,jiných-agend,Jiných agend
https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů,"Kategorie údajů v ISVS dle § 23, odst. 1, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů/položky/vlastní,vlastní,Vlastní
https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů,"Kategorie údajů v ISVS dle § 23, odst. 1, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/kategorie-údajů/položky/provozní,provozní,Provozní
