číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat,Zdroje podnětů k otevření dat,Sources of requests for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat/položky/HVDs,HVDs,HVDs,HVDs
https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat,Zdroje podnětů k otevření dat,Sources of requests for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat/položky/veřejné-registry,veřejné-registry,Veřejné registry,Public registries
https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat,Zdroje podnětů k otevření dat,Sources of requests for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat/položky/závazky-z-ICT-projektů,Závazky-z-ICT-projektů,Závazky z ICT projektů,Obligations from ICT projects
https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat,Zdroje podnětů k otevření dat,Sources of requests for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-podnětů-k-otevření-dat/položky/poptávka-veřejnosti,poptávka-veřejnosti,Poptávka veřejnosti,Public demand
