číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs
https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů,Zdroje výčtu členských obcí ve svazku obcí,https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů/položky/dle-zákona,dle-zákona,Dle zákona
https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů,Zdroje výčtu členských obcí ve svazku obcí,https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů/položky/webové-stránky,webové-stránky,Webové stránky
https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů,Zdroje výčtu členských obcí ve svazku obcí,https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů/položky/sbírka-listin,sbírka-listin,Sbírka listin
https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů,Zdroje výčtu členských obcí ve svazku obcí,https://data.dia.gov.cz/zdroj/číselníky/zdroje-výčtu-členů/položky/jiný,jiný,Jiný zdroj
