číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/stavy-registrované-aplikace,Stavy registrované aplikace,States of registered application,https://data.dia.gov.cz/zdroj/číselníky/stavy-registrované-aplikace/položky/Funkční,Funkční,Funkční,Functional
https://data.dia.gov.cz/zdroj/číselníky/stavy-registrované-aplikace,Stavy registrované aplikace,States of registered application,https://data.dia.gov.cz/zdroj/číselníky/stavy-registrované-aplikace/položky/Nefunkční,Nefunkční,Nefunkční,Non-functional
https://data.dia.gov.cz/zdroj/číselníky/stavy-registrované-aplikace,Stavy registrované aplikace,States of registered application,https://data.dia.gov.cz/zdroj/číselníky/stavy-registrované-aplikace/položky/Archivovaná,Archivovaná,Archivovaná,Archived
