číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/typy-zpoplatnění-služeb,Typy zpoplatnění služeb,Types of service monetization,https://data.dia.gov.cz/zdroj/číselníky/typy-zpoplatnění-služeb/položky/ČástečněPlacená,ČástečněPlacená,Částečně Placená,Partially paid
https://data.dia.gov.cz/zdroj/číselníky/typy-zpoplatnění-služeb,Typy zpoplatnění služeb,Types of service monetization,https://data.dia.gov.cz/zdroj/číselníky/typy-zpoplatnění-služeb/položky/Placená,Placená,Placená,Paid
https://data.dia.gov.cz/zdroj/číselníky/typy-zpoplatnění-služeb,Typy zpoplatnění služeb,Types of service monetization,https://data.dia.gov.cz/zdroj/číselníky/typy-zpoplatnění-služeb/položky/Zdarma,Zdarma,Zdarma,Free
