číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs
https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu,Způsoby provedení digitálního úkonu,https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu/položky/1,1,Datová schránka
https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu,Způsoby provedení digitálního úkonu,https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu/položky/2,2,Kontaktní místo veřejné správy
https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu,Způsoby provedení digitálního úkonu,https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu/položky/3,3,Síť elektronických komunikací dokumentem podepsaným uznávaným elektronickým podpisem nebo uznávanou elektronickou pečetí
https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu,Způsoby provedení digitálního úkonu,https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu/položky/4,4,Informační systém veřejné správy umožňující prokázání totožnosti uživatele služby s využitím elektronické identifikace
https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu,Způsoby provedení digitálního úkonu,https://data.dia.gov.cz/zdroj/číselníky/způsoby-provedení-digitálního-úkonu/položky/5,5,Jiný způsob stanovený právním předpisem
