číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření,Zdroje návrhu na data k otevření,Sources of suggestions for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření/položky/HVDs,HVDs,HVDs,HVDs
https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření,Zdroje návrhu na data k otevření,Sources of suggestions for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření/položky/veřejné-registry,veřejné-registry,Veřejné registry,Public registries
https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření,Zdroje návrhu na data k otevření,Sources of suggestions for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření/položky/závazky-z-ICT-projektů,Závazky-z-ICT-projektů,Závazky z ICT projektů,Obligations from ICT projects
https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření,Zdroje návrhu na data k otevření,Sources of suggestions for opening data,https://data.dia.gov.cz/zdroj/číselníky/zdroje-návrhu-na-data-k-otevření/položky/poptávka-veřejnosti,poptávka-veřejnosti,Poptávka veřejnosti,Public demand
