číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs
https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci,Hashovací funkce použité pro eLegalizaci,https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci/položky/SHA-256,SHA-256,SHA-256
https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci,Hashovací funkce použité pro eLegalizaci,https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci/položky/SHA-512,SHA-512,SHA-512
https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci,Hashovací funkce použité pro eLegalizaci,https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci/položky/SHA3-256,SHA3-256,SHA3-256
https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci,Hashovací funkce použité pro eLegalizaci,https://data.dia.gov.cz/zdroj/číselníky/hashovací-funkce-pro-elegalizaci/položky/SHA3-512,SHA3-512,SHA3-512
