číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs
http://eidas.europa.eu/LoA,Úrovně záruky eIDAS,http://eidas.europa.eu/LoA/high,high,Vysoká úroveň záruky
http://eidas.europa.eu/LoA,Úrovně záruky eIDAS,http://eidas.europa.eu/LoA/low,low,Nízká úroveň záruky
http://eidas.europa.eu/LoA,Úrovně záruky eIDAS,http://eidas.europa.eu/LoA/substantial,substantial,Značná úroveň záruky
