číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření,Stavy návrhů na datové sady k otevření,States of proposals of datasets to be opened,https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření/položky/Publikováno,Publikováno,Publikováno,Published
https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření,Stavy návrhů na datové sady k otevření,States of proposals of datasets to be opened,https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření/položky/Přislíbeno,Přislíbeno,Přislíbeno,Promised
https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření,Stavy návrhů na datové sady k otevření,States of proposals of datasets to be opened,https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření/položky/Evidováno,Evidováno,Evidováno,Recorded
https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření,Stavy návrhů na datové sady k otevření,States of proposals of datasets to be opened,https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření/položky/NelzePublikovat,Nelze publikovat,Nelze publikovat,Cannot be published
https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření,Stavy návrhů na datové sady k otevření,States of proposals of datasets to be opened,https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření/položky/SprávceOdmítl,Správce dat odmítl publikovat,Správce dat odmítl publikovat,Data manager refused to publish
https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření,Stavy návrhů na datové sady k otevření,States of proposals of datasets to be opened,https://data.dia.gov.cz/zdroj/číselníky/stavy-návrhu-na-data-k-otevření/položky/SprávceNemáDataVPožadovanéPodoobě,Správce nemá data v požadované podobě,Správce nemá data v požadované podobě,Data manager does not have the data in the required format
