číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/míra-specifikace-tématu-práce,Míra specifikace tématu práce,Level of specification of a topic of a thesis,https://data.mvcr.gov.cz/zdroj/číselníky/míra-specifikace-tématu-práce/položky/téma,téma,Téma,Topic
https://data.mvcr.gov.cz/zdroj/číselníky/míra-specifikace-tématu-práce,Míra specifikace tématu práce,Level of specification of a topic of a thesis,https://data.mvcr.gov.cz/zdroj/číselníky/míra-specifikace-tématu-práce/položky/téma-ke-specifikaci,téma-ke-specifikaci,Téma ke specifikaci,Topic to be specified
https://data.mvcr.gov.cz/zdroj/číselníky/míra-specifikace-tématu-práce,Míra specifikace tématu práce,Level of specification of a topic of a thesis,https://data.mvcr.gov.cz/zdroj/číselníky/míra-specifikace-tématu-práce/položky/okruh,okruh,Okruh,Area
