číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.mvcr.gov.cz/zdroj/číselníky/stupně-přístupnosti,Číselník pro stupně přístupnosti,Accessibility assessment codelist,https://data.mvcr.gov.cz/zdroj/číselníky/stupně-přístupnosti/položky/přístupný,přístupný,Přístupný,Accessible
https://data.mvcr.gov.cz/zdroj/číselníky/stupně-přístupnosti,Číselník pro stupně přístupnosti,Accessibility assessment codelist,https://data.mvcr.gov.cz/zdroj/číselníky/stupně-přístupnosti/položky/částečně-přístupný,částečně-přístupný,Částečně přístupný,Partially accessible
https://data.mvcr.gov.cz/zdroj/číselníky/stupně-přístupnosti,Číselník pro stupně přístupnosti,Accessibility assessment codelist,https://data.mvcr.gov.cz/zdroj/číselníky/stupně-přístupnosti/položky/obtížně-přístupný-nebo-nepřístupný,obtížně-přístupný-nebo-nepřístupný,Obtížně přístupný nebo nepřístupný,Difficult to access or inaccessible
