číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en,číselník_položka_širší_položka,číselník_položka_širší_shoda,číselník_položka_přesná_shoda
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/toky-cestovního-ruchu-v-evropě,toky-cestovního-ruchu-v-evropě,Toky cestovního ruchu v Evropě,Tourism flows in Europe,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika/harmonizované-indexy-spotřebitelských-cen,harmonizované-indexy-spotřebitelských-cen,Harmonizované indexy spotřebitelských cen,Harmonised Indices of consumer prices,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/statistika,http://data.europa.eu/bna/c_e1da4e07,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností,společnosti-a-vlastnictví-společností,Společnosti a vlastnictví společností,Companies and company ownership,,,http://data.europa.eu/bna/c_a9135398
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností/základní-informace-o-společnosti-klíčové-atributy,základní-informace-o-společnosti-klíčové-atributy,Základní informace o společnosti: klíčové atributy,Basic company information: key attributes,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností,http://data.europa.eu/bna/c_a9135398,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností/dokumenty-a-účty-společnosti,dokumenty-a-účty-společnosti,Dokumenty a účty společnosti,Company documents and accounts,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/společnosti-a-vlastnictví-společností,http://data.europa.eu/bna/c_a9135398,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita,mobilita,Mobilita,Mobility,,,http://data.europa.eu/bna/c_b79e35eb
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/dopravní-sítě,dopravní-sítě,Dopravní sítě,Transport networks,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,vnitrozemské-vodní-cesty,Datové soubory týkající se vnitrozemských vodních cest,Inland waterways datasets,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/vlastnosti-plavební-dráhy,vlastnosti-plavební-dráhy,Vlastnosti plavební dráhy,Fairway characteristics,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
https://data.dia.gov.cz/zdroj/číselníky/hvds,Datové sady s vysokou socio-ekonomickou hodnotou (HVDs),High-Value Datasets,https://data.dia.gov.cz/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty/dlouhodobé-překážky-na-plavební-dráze-a-spolehlivost,dlouhodobé-překážky-na-plavební-dráze-a-spolehlivost,Dlouhodobé překážky na plavební dráze a spolehlivost,Long-time obstructions in the fairway and reliability,https://data.dia.gov.cz/zdroj/číselníky/hvds/položky/mobilita/vnitrozemské-vodní-cesty,http://data.europa.eu/bna/c_b79e35eb,
