číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en
https://data.dia.gov.cz/zdroj/číselníky/platformy-registrovaných-aplikací,Platformy registrovaných aplikací,Registered application's plaforms,https://data.dia.gov.cz/zdroj/číselníky/platformy-registrovaných-aplikací/položky/Android,Android,Android,Android
https://data.dia.gov.cz/zdroj/číselníky/platformy-registrovaných-aplikací,Platformy registrovaných aplikací,Registered application's plaforms,https://data.dia.gov.cz/zdroj/číselníky/platformy-registrovaných-aplikací/položky/Web,Web,Web,Web
https://data.dia.gov.cz/zdroj/číselníky/platformy-registrovaných-aplikací,Platformy registrovaných aplikací,Registered application's plaforms,https://data.dia.gov.cz/zdroj/číselníky/platformy-registrovaných-aplikací/položky/Jiná,Jiná,Jiná,Other
