číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_definice_cs
https://data.dia.gov.cz/zdroj/číselníky/typy-obsahu-údajů,"Typy obsahu údajů v ISVS dle § 23, odst. 3, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/typy-obsahu-údajů/položky/identifikační,identifikační,Identifikační,"Údaje, které, které samostatně nebo ve skupině identifikují konkrétní objekt či subjekt práva"
https://data.dia.gov.cz/zdroj/číselníky/typy-obsahu-údajů,"Typy obsahu údajů v ISVS dle § 23, odst. 3, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/typy-obsahu-údajů/položky/evidenční,evidenční,Evidenční,"Údaje, které neidentifikují objekt či subjekt práva, ale váží se k němu v rámci agendy a evidence, která se v ní vede"
https://data.dia.gov.cz/zdroj/číselníky/typy-obsahu-údajů,"Typy obsahu údajů v ISVS dle § 23, odst. 3, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/typy-obsahu-údajů/položky/statistické,statistické,Statistické,"Údaje, které seskupují a formou anonymizace či pseudonymizace zamezují vazbě na objekt či subjekt práva"
