číselník,číselník_název_cs,číselník_položka,číselník_položka_kód,číselník_položka_název_cs
https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů,"Způsoby sdílení údajů v ISVS dle § 23, odst. 2, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů/položky/veřejně-přístupné,veřejně-přístupné,Veřejně přístupné
https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů,"Způsoby sdílení údajů v ISVS dle § 23, odst. 2, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů/položky/poskytované-na-žádost,poskytované-na-žádost,Poskytované na žádost
https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů,"Způsoby sdílení údajů v ISVS dle § 23, odst. 2, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů/položky/zpřístupňované-pro-výkon-agendy,zpřístupňované-pro-výkon-agendy,Zpřístupňované pro výkon agendy
https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů,"Způsoby sdílení údajů v ISVS dle § 23, odst. 2, vyhlášky č. 360/2023 Sb.",https://data.dia.gov.cz/zdroj/číselníky/způsoby-sdílení-údajů/položky/nesdílené,nesdílené,Nesdílené
